fuel_log_id,vehicle_id,fuel_date,liters,fuel_cost,odometer_reading
63,8,2025-02-06,88.2,5345.81,282079
64,10,2025-07-07,34.92,9643.82,180869
65,7,2024-11-14,107.31,7362.56,145803
66,13,2024-12-28,24.77,3040.14,239891
67,14,2025-03-17,107.34,1337.25,176216
68,3,2024-09-16,78.69,11097.81,204656
69,5,2025-09-21,91.61,3758.64,167154
70,12,2024-06-06,39.07,5981.97,245293
71,15,2025-06-09,80.72,2120.59,79538
72,13,2025-01-27,41.06,2501.79,373858
73,14,2025-01-11,110.73,3986.94,165601
74,2,2025-04-10,10.18,9693.93,289551
75,6,2024-08-18,112.35,1596.05,193169
76,8,2025-09-14,33.63,7959.25,105766
77,12,2026-04-17,49.06,7761.27,272276
78,7,2024-08-18,65.76,3175.13,399428
79,7,2025-01-23,24.44,1502.9,113827
80,9,2025-11-02,40.11,6148.3,85664
81,15,2026-01-28,14.97,5728.76,194074
82,15,2024-11-05,44.61,4382.08,147534
83,15,2024-06-26,107.82,2504.28,143825
84,3,2024-09-13,36.65,5580.88,166897
85,11,2026-01-04,10.57,2263.08,320844
86,9,2026-03-10,87.02,3954.99,291486
87,1,2024-07-26,35.38,9194.35,309967
88,2,2026-03-31,11.64,10074.64,246562
89,10,2025-02-10,105.36,9059.75,108276
90,5,2025-12-26,115.19,11388.35,398375
91,5,2024-06-16,91.47,4147.33,30773
92,6,2024-09-09,109.61,6373.04,73212
93,4,2025-09-08,86.13,4398.01,220871
94,3,2026-04-25,81.51,6792.14,129693
95,10,2026-04-07,48.04,8028.05,150131
96,6,2026-03-13,109.54,2985.03,51928
97,6,2024-11-05,73.19,7166.02,300429
98,8,2026-01-17,86.4,2669.57,49028
99,13,2025-07-27,115.9,3798.34,117985
100,2,2026-05-10,100.51,6690.18,335215
101,6,2025-11-30,10.62,2197.71,330822
102,4,2025-08-23,47.67,7189.15,144111
103,4,2025-05-25,47.5,5434.07,169077
104,10,2025-07-12,96.68,4217.14,211458
105,7,2024-07-16,87.82,1509.43,119859
106,13,2025-12-05,21.33,4332.04,340799
107,12,2025-04-23,23.43,5036.25,306985
108,11,2025-08-25,26.13,6960.2,356649
109,10,2025-08-08,13.28,10692.07,101939
110,6,2024-12-15,68.06,7888.34,180432
111,13,2024-07-29,85.29,2507.75,118852
112,8,2026-04-02,89.64,6415.77,39013
113,4,2025-07-26,103.42,6653.27,272314
114,5,2026-03-30,64.36,1915.77,304565
115,3,2024-09-18,86.55,3367.44,350600
116,3,2026-03-15,32.8,3123.26,304384
117,10,2026-02-18,100.4,9025.77,249844
118,2,2026-04-14,42.43,7619.46,232019
119,8,2026-03-05,58.99,6002.34,395930
120,13,2024-11-29,60.54,9138.2,165967
121,1,2025-01-04,50.44,7305.65,43840
122,2,2024-10-27,39.12,4971.54,158610
123,9,2025-02-12,113.46,2028.82,121799
124,13,2026-04-19,52.89,9123.01,231325
125,1,2024-07-01,73.1,1736.37,117222
126,8,2026-02-11,60.59,7991.63,94406
127,6,2025-10-07,16.79,1885.27,111396
128,7,2026-04-05,15.15,8826.38,134542
129,8,2024-12-03,64.75,1321.93,117277
130,6,2024-08-18,62.01,7455.76,349882
131,13,2026-04-11,113.15,3072.57,217011
132,10,2025-05-31,13.61,5964.96,345958
133,7,2024-11-15,63.42,5942.04,351045
134,3,2024-06-17,118.21,6859.9,376438
135,3,2024-07-22,44.15,5721.82,317970
136,4,2025-03-31,69.82,4777.66,69639
137,11,2026-01-24,52.23,4672.17,264899
138,13,2024-09-15,63.69,11726.6,138279
139,5,2025-07-21,93.26,8460.57,374523
140,15,2025-01-05,100.16,1624.24,185238
141,13,2025-04-13,69.57,11920.86,123920
142,6,2024-08-05,94.75,8197.09,139151
143,14,2024-10-26,17.14,6619.44,105511
144,10,2025-02-13,42.38,7025.94,341060
145,5,2025-04-01,75.62,9346.18,271791
146,3,2025-02-17,83.18,8242.48,192445
147,8,2024-06-21,39.13,4298.81,179270
148,9,2026-03-13,105.09,9767.64,194526
149,14,2024-12-03,62.11,10555.9,225158
150,8,2025-07-02,94.2,11518.0,371458
151,8,2025-12-01,106.42,6313.15,97320
152,13,2025-10-04,33.92,3029.44,70086
153,13,2026-04-01,13.24,5805.31,52790
154,11,2024-11-07,36.34,7229.12,37163
155,13,2026-02-16,76.72,7781.0,276208
156,8,2026-03-17,101.76,1740.89,148784
157,3,2025-12-06,109.06,3361.3,86876
158,13,2025-07-20,31.92,9879.69,335113
159,15,2025-02-25,83.36,8123.75,127093
160,12,2026-03-30,42.96,6772.05,276844
161,10,2025-09-28,78.85,8516.29,83451
162,5,2025-03-08,68.32,5625.26,42593
163,13,2026-05-16,42.02,11858.63,134842
164,15,2025-08-22,83.11,5243.8,208124
165,15,2024-06-18,92.4,3058.4,303892
166,8,2026-01-15,82.1,7685.47,35860
167,6,2025-07-08,86.2,8801.9,233923
168,5,2025-01-25,15.95,9682.08,114283
169,8,2025-08-22,112.9,9845.08,245971
170,10,2024-11-10,76.32,2179.3,247180
171,15,2025-10-29,108.01,2938.8,282718
172,8,2025-09-24,74.64,10144.96,207234
173,14,2025-07-03,108.17,7095.13,326386
174,4,2024-10-14,35.65,3547.46,383258
175,4,2024-07-31,27.89,5627.34,296170
176,5,2025-10-28,81.89,7065.85,183118
177,2,2026-01-24,109.75,9351.99,257356
178,9,2024-10-11,76.92,8617.44,308285
179,12,2025-09-07,51.87,3868.15,180674
180,1,2026-04-12,95.19,10112.03,294385
181,9,2025-07-11,99.33,3421.41,104323
182,6,2024-06-08,33.91,4261.03,159332
183,13,2025-07-13,84.07,2578.6,226971
184,6,2025-01-24,86.08,10755.28,252918
185,5,2025-01-19,113.23,7234.52,39582
186,15,2024-08-15,11.98,2329.97,218765
187,5,2025-05-18,42.79,7595.49,346430
188,10,2025-06-28,10.34,8278.28,208278
189,8,2026-02-18,66.01,1786.31,128628
190,8,2024-10-24,78.22,4189.56,254695
191,7,2025-07-31,73.99,8676.87,295154
192,9,2025-08-12,92.93,11328.75,394993
193,4,2026-02-04,29.89,1241.82,210648
194,2,2025-04-15,13.06,2544.05,281702
195,5,2025-09-02,114.99,5177.05,195298
196,8,2025-10-19,15.58,10796.07,46540
197,2,2026-01-27,71.72,8473.65,55787
198,12,2024-08-05,35.2,4348.71,370516
199,13,2024-12-19,87.34,1744.42,246539
200,7,2025-12-14,64.13,6676.15,108149
201,9,2024-06-03,24.08,6296.86,152929
202,7,2025-12-20,61.53,5053.04,317250
203,11,2024-09-29,55.91,1231.16,181185
204,5,2025-07-06,13.16,6863.39,209927
205,1,2024-10-24,12.85,8660.45,34284
206,12,2026-01-02,105.16,9302.42,143923
207,15,2024-06-09,68.3,10713.53,30508
208,13,2024-08-24,103.47,6949.34,87693
209,11,2025-03-29,99.63,4177.5,290356
210,15,2025-04-29,25.08,8628.93,291431
211,11,2026-01-09,10.39,3228.32,379864
212,14,2026-04-30,117.93,2994.68,266018
213,5,2025-10-30,97.96,9660.92,139108
214,12,2025-04-25,102.05,2004.58,41453
215,13,2024-12-15,45.73,4512.58,326906
216,13,2024-09-29,52.04,7852.54,191772
217,1,2026-03-24,100.41,4419.71,36550
218,11,2025-07-04,59.99,8933.65,203303
219,11,2025-09-21,76.31,7687.62,202392
220,7,2024-06-15,70.26,6293.77,388498
221,10,2025-01-25,101.86,11997.85,345688
222,14,2025-08-01,112.56,5729.12,394480
223,1,2025-08-25,92.02,4441.87,231512
224,12,2025-09-03,21.35,7317.56,278473
225,13,2024-11-26,71.45,10161.85,218019
226,6,2024-07-17,78.15,2313.36,69516
227,5,2025-12-19,74.9,10761.83,245351
228,2,2026-01-30,77.0,5398.95,321390
229,15,2024-07-10,61.88,4619.79,212642
230,2,2024-07-15,101.23,10924.46,35245
231,8,2026-03-18,94.86,7604.26,80114
232,1,2025-11-12,61.52,8235.73,318582
233,9,2024-08-06,51.79,4775.27,181775
234,13,2025-09-27,96.92,8325.0,42454
235,5,2025-04-28,103.44,9710.81,205173
236,1,2026-03-04,90.31,10851.63,296793
237,3,2025-12-15,59.62,11634.49,131902
238,10,2024-09-22,100.59,4545.92,75843
239,9,2026-04-04,41.29,9166.06,166424
240,7,2024-07-29,41.84,9557.25,217105
241,9,2024-11-13,20.35,4720.02,43987
242,1,2025-06-25,17.55,11566.64,91243
243,10,2025-09-27,63.96,9098.37,357398
244,15,2025-09-15,26.95,5269.79,248578
245,10,2025-02-03,105.65,4656.36,287177
246,4,2026-03-25,69.35,2418.81,169163
247,6,2025-01-21,48.1,5320.3,215733
248,8,2025-11-16,90.0,2775.12,297731
249,4,2025-08-01,113.7,3960.99,329406
250,14,2024-05-31,112.39,4844.52,356999
251,9,2025-02-11,77.36,5330.08,248301
252,1,2024-05-21,74.15,9792.75,233043
253,2,2025-01-06,42.17,4359.16,362134
254,8,2025-09-21,11.96,8840.35,264136
255,8,2024-06-12,60.44,1456.28,380829
256,2,2025-10-29,109.13,9190.7,244083
257,15,2025-12-02,89.52,5329.71,387970
258,11,2025-10-06,37.61,9674.97,84846
259,13,2024-08-11,112.63,9004.55,379354
260,4,2024-12-28,79.9,2575.83,100556
261,2,2025-12-20,111.1,2297.0,153183
262,5,2025-08-29,86.31,3683.52,307139
263,4,2024-09-01,33.48,10591.46,245604
264,4,2024-11-09,101.51,11856.83,386302
265,15,2025-02-25,101.12,7407.81,37346
266,5,2024-05-23,114.33,5912.18,168695
267,15,2024-07-20,77.44,7407.98,265821
268,10,2025-10-29,78.38,3319.02,136205
269,3,2025-05-17,61.0,11769.93,326974
270,7,2025-05-08,74.95,9207.34,56926
271,12,2024-06-18,88.76,1305.81,204713
272,6,2024-11-24,111.25,11213.59,167851
273,14,2026-05-15,17.63,2123.54,140001
274,3,2025-06-23,74.22,11462.96,314219
275,1,2024-07-04,87.47,4742.48,330602
276,5,2025-06-06,11.79,8840.85,121186
277,4,2025-09-22,15.49,5227.33,375564
278,11,2025-11-15,48.67,8702.27,250012
279,9,2025-08-19,23.53,8850.57,237215
280,7,2024-10-11,85.39,2959.16,53436
281,4,2025-05-14,70.79,3045.61,128692
282,11,2024-08-17,20.75,1335.3,315144
283,13,2026-03-19,116.81,7437.94,388588
284,3,2025-11-27,74.1,6072.8,311214
285,11,2026-04-25,37.57,7789.38,30877
286,6,2026-04-06,34.25,10057.66,240454
287,1,2025-03-27,85.31,7422.9,73402
288,15,2026-04-14,11.11,5312.07,149759
289,11,2024-09-22,41.61,9980.44,94004
290,13,2026-03-13,14.28,5662.11,233411
291,1,2025-09-05,77.86,2271.12,147358
292,2,2025-08-22,81.96,8558.48,120356
293,1,2024-06-19,69.42,7396.84,349621
294,5,2025-07-14,106.02,2379.77,384796
295,6,2025-11-04,76.15,9094.85,169975
296,13,2025-02-13,84.73,9747.97,386782
297,7,2026-05-11,98.91,1211.35,306422
298,1,2024-07-01,63.46,7286.1,168682
299,9,2025-11-15,96.46,9466.46,114024
300,4,2024-09-20,25.57,7877.87,138799
301,12,2026-04-25,78.06,5331.13,162700
302,8,2025-11-27,51.66,6446.03,273411
303,4,2024-10-19,117.28,1921.82,206904
304,9,2025-03-15,111.4,10925.5,88265
305,9,2025-07-11,79.02,2339.87,219029
306,15,2024-07-11,68.5,11181.18,224747
307,11,2026-02-02,43.46,4943.59,68263
308,2,2025-05-20,37.37,5743.05,283278
309,11,2024-07-02,100.24,9207.0,220328
310,2,2025-10-17,120.0,2074.86,385639
311,11,2025-01-28,28.84,10662.72,215914
312,13,2025-03-09,93.32,9255.68,49093
313,13,2025-09-14,59.69,3883.58,373106
314,3,2024-12-12,108.91,9127.94,376249
315,4,2026-04-06,38.79,9163.3,397278
316,15,2026-01-01,113.46,4217.93,177254
317,9,2025-09-02,112.48,3376.96,131130
318,7,2026-02-11,62.97,5130.89,224067
319,5,2025-05-29,79.81,5636.84,351880
320,8,2024-12-23,117.5,1447.18,337627
321,14,2024-11-05,95.98,1973.65,379365
322,14,2024-12-18,32.92,6422.02,36765
323,7,2025-08-19,114.85,6798.5,312232
324,6,2025-08-01,48.29,7192.23,363374
325,11,2024-10-31,119.95,10410.7,35012
326,14,2024-12-14,99.46,7257.34,202089
327,15,2024-06-28,26.07,8160.34,233178
328,13,2025-12-23,49.44,4431.43,55497
329,15,2025-10-12,92.08,1943.53,56206
330,9,2025-02-03,118.64,4243.65,289237
331,14,2025-02-12,47.03,10309.79,120529
332,9,2025-02-23,43.53,1527.46,271172
333,12,2025-03-19,52.08,3022.47,106616
334,8,2024-06-28,56.75,9966.04,65872
335,2,2026-05-18,32.25,6050.9,38652
336,14,2024-10-03,92.33,7649.31,144028
337,11,2024-12-24,40.77,10269.8,167586
338,6,2024-11-30,32.92,4419.95,388668
339,10,2026-01-18,43.64,10622.22,81585
340,13,2025-03-13,89.09,6206.42,248044
341,12,2025-09-14,30.45,9054.28,393905
342,3,2026-04-16,57.17,11506.65,105993
343,7,2026-03-26,28.12,6298.77,275552
344,3,2025-12-08,29.49,2275.52,374464
345,4,2025-05-01,37.81,7209.5,234474
346,10,2025-09-25,118.4,11917.46,336916
347,2,2026-03-30,100.88,8343.16,301828
348,8,2026-01-19,107.71,7570.47,41019
349,12,2026-04-27,110.47,9564.36,342832
350,3,2024-05-27,86.67,7823.21,42110
351,10,2024-08-04,102.34,11484.66,55456
352,15,2025-06-11,47.41,7252.44,129331
353,9,2025-07-16,85.87,5649.41,96001
354,8,2026-03-08,43.71,9268.49,315193
355,5,2024-10-27,96.02,4030.16,211829
356,9,2024-12-11,41.01,5307.59,275480
357,9,2024-07-12,114.64,7834.28,103585
358,14,2025-09-24,58.7,8330.42,374116
359,8,2025-03-10,53.82,3852.24,220645
360,8,2024-07-18,46.37,11786.47,330803
361,6,2025-10-21,43.47,6707.97,131816
362,7,2025-06-08,51.52,10768.47,57260
363,11,2024-07-21,116.01,6435.62,174395
364,15,2024-08-24,33.16,2024.41,58278
365,5,2024-10-13,55.74,1470.44,88076
366,6,2025-08-09,44.51,4329.27,216038
367,15,2024-05-27,67.79,2238.52,289753
368,2,2025-07-22,115.95,9441.71,63556
369,8,2025-09-05,116.13,9167.57,394435
370,15,2025-07-03,86.22,10605.32,226481
371,9,2024-06-22,30.66,7579.81,285972
372,13,2026-03-06,66.49,7862.49,116245
373,9,2024-07-20,54.38,2366.8,393210
374,6,2026-03-04,76.03,2217.17,139440
375,13,2026-02-03,44.63,4143.02,317723
376,5,2025-11-30,32.57,5215.49,374307
377,13,2024-06-08,92.99,6160.4,278908
378,6,2024-11-01,92.53,4695.64,87987
379,15,2024-10-12,41.83,11897.77,399202
380,4,2026-02-13,19.0,2925.02,296385
381,3,2025-12-29,117.3,4247.94,213938
382,1,2025-01-16,112.53,6191.41,391591
383,12,2025-05-31,115.61,11496.87,35993
384,2,2026-03-20,12.68,5379.11,363033
385,6,2026-03-06,35.85,8248.58,346106
386,8,2024-09-19,101.4,8942.62,339271
387,9,2025-09-20,105.92,10948.24,199609
388,6,2024-06-29,97.27,8847.35,76187
389,2,2025-03-11,117.12,10037.13,365575
390,13,2024-05-24,46.98,5201.48,106472
391,9,2026-02-12,15.73,7927.08,166828
392,2,2025-07-05,11.45,5717.8,214610
393,8,2025-11-05,22.67,10166.93,230474
394,6,2026-03-20,38.47,2770.64,284724
395,12,2024-06-04,65.41,7504.14,142027
396,8,2025-12-25,88.45,3810.51,117121
397,13,2024-08-10,35.65,3814.65,303887
398,2,2025-02-26,18.8,10495.9,99571
399,1,2025-12-05,92.36,8844.77,53700
400,10,2026-03-17,106.42,6289.79,314742
401,4,2025-02-26,11.39,5356.48,91509
402,13,2025-04-20,93.41,10050.22,284816
403,14,2024-07-18,108.51,1533.46,151283
404,14,2025-12-10,54.09,3926.77,362547
405,12,2024-10-01,55.64,3548.7,284869
406,5,2026-01-24,113.49,1210.05,263878
407,11,2025-12-18,100.7,5077.51,184912
408,14,2024-06-04,57.82,11327.72,332485
409,7,2026-01-11,14.12,1537.9,297685
410,14,2024-09-28,95.43,7303.27,235649
411,5,2025-06-23,92.92,6743.18,88669
412,5,2025-09-07,104.32,5601.41,159629
413,4,2024-10-22,58.6,2712.36,280234
414,7,2024-08-12,94.15,2733.5,220358
415,9,2025-02-22,87.25,8382.68,255834
416,9,2025-02-01,107.36,9688.17,248953
417,6,2025-08-07,12.34,3532.86,31108
418,15,2025-01-18,28.47,10241.04,145515
419,10,2026-03-17,104.85,11859.41,181054
420,2,2025-01-05,87.84,10635.99,368186
421,14,2025-05-22,118.37,1510.48,398915
422,11,2025-08-04,102.19,5660.63,193481
423,14,2025-09-28,47.62,11465.02,144566
424,6,2025-06-15,93.68,9137.95,341553
425,7,2024-09-01,16.35,3760.55,36068
426,1,2025-04-03,111.22,3460.53,396232
427,7,2025-02-03,23.16,6318.72,286000
428,15,2024-12-29,25.62,8999.05,37931
429,12,2024-11-12,55.23,5389.19,361573
430,7,2024-12-12,113.56,4688.83,250012
431,9,2025-05-24,112.19,8379.4,209498
432,15,2024-08-28,103.56,8547.35,85004
433,11,2024-06-14,28.66,10491.24,181905
434,9,2024-08-13,119.72,4264.32,40840
435,1,2024-11-22,35.47,1244.26,209401
436,10,2025-03-21,57.93,4554.29,259772
437,13,2025-04-03,75.92,10889.8,207544
438,11,2024-10-05,112.2,1320.88,137817
439,2,2026-02-24,33.59,1552.62,371175
440,13,2026-01-24,34.73,2622.49,325225
441,5,2025-01-06,32.07,1485.48,39856
442,1,2025-12-10,30.71,11470.31,111582
443,11,2024-10-01,46.78,10210.29,160051
444,4,2026-05-04,39.23,3905.62,80501
445,1,2024-10-26,40.2,7672.73,253191
446,8,2024-08-04,90.25,3509.77,171593
447,8,2026-04-08,69.14,3719.59,278235
448,6,2024-12-09,46.72,9648.67,343450
449,10,2024-11-07,117.47,8206.42,291605
450,4,2024-07-28,63.55,3219.04,130579
451,9,2025-10-25,118.58,1477.22,149562
452,7,2025-01-19,46.61,6399.58,277195
453,3,2025-03-09,108.55,3655.32,105483
454,5,2024-06-12,24.55,7287.71,71720
455,9,2025-09-08,21.76,6367.21,49914
456,1,2026-05-17,69.86,9606.29,124892
457,8,2024-11-19,12.22,6474.77,132238
458,13,2025-06-16,79.31,10644.66,339446
459,8,2026-01-25,70.39,10117.59,79342
460,12,2024-05-22,78.76,7999.97,383059
461,4,2024-08-16,114.57,11116.13,121001
462,15,2026-02-01,106.91,5227.89,125998
463,2,2024-07-31,10.71,1848.44,167491
464,12,2025-03-29,46.64,4564.07,238891
465,14,2025-01-09,79.1,5466.0,388991
466,3,2025-12-08,96.29,9132.03,84039
467,15,2025-02-16,20.37,2430.79,296141
468,15,2025-04-05,65.89,2341.97,205770
469,2,2024-12-16,113.86,7486.77,248510
470,11,2025-06-30,96.03,2578.89,217310
471,7,2024-09-06,93.13,4725.06,396453
472,6,2025-11-11,65.58,4933.43,198534
473,4,2026-04-05,103.01,3068.86,223480
474,1,2024-07-16,23.35,6910.11,160030
475,13,2024-06-14,117.8,6482.09,333822
476,2,2024-06-11,73.07,7197.83,254597
477,6,2024-11-04,37.56,11546.26,203018
478,1,2024-06-28,75.26,6842.68,225530
479,14,2024-08-06,95.78,1963.77,238196
480,8,2025-09-23,105.38,2868.87,389813
481,5,2024-07-19,79.66,4657.2,55631
482,11,2026-04-13,84.59,5092.71,86518
483,14,2025-08-07,104.14,7572.31,201062
484,9,2024-10-01,21.03,10979.97,32500
485,11,2024-12-15,57.67,9566.02,148320
486,13,2026-05-04,113.53,9402.42,131125
487,9,2024-08-13,72.26,1460.5,358380
488,4,2025-02-28,116.69,9808.34,45491
489,10,2025-01-24,100.66,4673.99,363368
490,11,2025-11-10,10.85,7194.82,75807
491,7,2025-06-23,90.52,2033.49,121513
492,10,2024-11-28,59.18,3643.5,393448
493,2,2025-04-13,13.86,9205.92,272294
494,6,2025-11-08,42.76,7000.11,386630
495,2,2025-10-27,19.71,9194.91,33627
496,15,2026-02-21,81.27,3955.94,301201
497,4,2024-11-18,49.72,6556.98,393406
498,14,2025-02-11,44.56,3546.27,250934
499,2,2025-12-19,10.96,7983.48,105473
500,9,2026-01-06,68.59,2395.17,101925
501,12,2026-01-06,113.85,3325.11,157370
502,9,2025-03-18,42.57,4569.11,31591
503,9,2025-04-23,56.61,8729.87,350996
504,13,2026-02-01,87.16,10140.3,304466
505,8,2024-10-29,23.14,6751.75,302246
506,12,2026-02-27,28.86,5009.82,228150
507,6,2025-12-09,115.19,8641.18,329956
508,8,2025-06-21,48.42,2656.89,123520
509,5,2024-08-20,33.93,10865.95,315528
510,2,2026-03-25,85.08,2814.31,300162
511,6,2026-01-23,98.29,9589.42,43196
512,11,2026-03-01,17.84,11001.95,271240
513,7,2024-06-13,90.15,9091.97,299661
514,3,2026-01-10,69.53,2902.33,42199
515,13,2025-06-01,43.4,11379.04,327749
516,4,2025-11-23,13.71,8459.22,143876
517,3,2024-11-23,81.29,6296.55,119308
518,1,2026-01-20,72.79,7168.4,76941
519,7,2024-05-23,78.29,2108.23,92230
520,14,2024-10-31,101.67,9124.86,293467
521,9,2025-02-08,35.21,7466.64,72246
522,8,2025-06-08,115.79,7756.47,377480
523,8,2025-07-11,55.13,3042.27,60704
524,12,2026-01-15,73.06,5029.35,36280
525,10,2025-04-16,97.77,5257.08,321715
526,7,2024-07-11,86.83,6690.11,124970
527,15,2025-06-22,89.57,5972.35,390059
528,10,2025-01-24,62.58,6521.65,319039
529,1,2024-05-24,51.64,6689.05,183877
530,6,2025-06-27,116.36,7485.86,135636
531,4,2025-07-24,90.69,10456.34,304151
532,12,2024-09-01,72.49,2634.65,370869
533,11,2025-08-14,87.77,2844.5,42802
534,15,2024-06-26,98.54,5824.93,251558
535,2,2026-04-11,90.91,1298.05,43583
536,5,2025-02-25,18.72,8708.42,342936
537,12,2024-08-04,119.89,6134.14,198553
538,11,2024-07-09,29.38,4804.01,290430
539,12,2024-10-15,63.76,11810.58,278402
540,5,2025-01-04,64.36,7971.86,48372
541,8,2024-08-03,62.3,8857.67,294772
542,1,2024-11-07,48.5,1231.84,150508
543,8,2024-09-16,101.65,11021.58,99092
544,1,2025-08-06,38.21,1716.97,74968
545,11,2026-03-02,20.85,9033.04,284635
546,10,2024-07-28,101.21,8318.51,321060
547,9,2025-11-07,31.69,3353.58,201287
548,9,2026-05-04,108.97,7309.45,95573
549,10,2025-05-14,20.26,6385.38,261485
550,4,2025-06-08,28.11,6495.73,159212
551,11,2025-12-13,108.31,8173.43,124433
552,5,2026-02-10,34.77,2387.63,318652
553,4,2025-02-15,85.76,11313.29,142375
554,6,2026-03-09,108.89,6149.1,31615
555,4,2024-10-17,90.76,1834.6,45138
556,15,2026-03-14,99.8,3215.12,353108
557,6,2024-11-14,46.64,4000.46,158301
558,11,2025-08-12,73.35,5916.33,357488
559,2,2025-10-30,74.63,7432.67,124704
560,9,2025-11-23,82.05,3549.16,283221
561,3,2026-05-18,58.82,10483.51,285231
562,6,2024-12-28,118.12,8632.56,282543
563,13,2025-05-29,99.62,4187.79,218148
564,7,2024-12-26,38.5,10924.56,274447
565,3,2025-12-10,29.29,10567.87,63132
566,11,2025-01-23,98.12,9301.11,355870
567,4,2026-01-28,91.07,10330.58,58329
568,13,2024-07-17,72.83,7885.44,376374
569,7,2024-09-26,50.16,4615.01,39114
570,6,2024-12-29,16.69,4417.19,182090
571,2,2025-07-16,95.37,7745.11,93516
572,5,2024-08-10,37.99,8442.58,218518
573,15,2024-10-06,106.83,8302.25,172839
574,15,2026-03-04,10.14,6560.39,311726
575,3,2024-09-17,96.62,1832.34,289235
576,14,2025-09-18,52.15,10144.21,284146
577,15,2025-06-06,18.75,9613.62,269333
578,10,2024-12-19,91.69,4116.62,100783
579,1,2025-03-27,19.41,5648.99,77756
580,3,2024-07-09,48.9,10300.92,132870
581,14,2024-10-31,102.43,8578.03,283939
582,3,2026-05-04,66.66,5555.84,77208
583,14,2024-12-21,63.01,2164.64,165071
584,3,2024-12-31,60.12,7651.55,315006
585,8,2025-08-16,94.62,5721.23,75855
586,3,2025-09-22,109.44,10656.3,173784
587,8,2026-03-04,55.64,5605.73,300136
588,8,2026-01-27,109.82,6476.17,52093
589,6,2025-08-30,42.47,6773.14,96893
590,11,2024-10-17,43.23,8301.29,77949
591,14,2025-08-31,62.84,6116.84,277527
592,7,2026-01-15,96.97,5187.2,297641
593,3,2025-04-03,117.46,6344.82,293909
594,4,2025-10-22,54.25,10086.01,180156
595,3,2025-07-08,10.18,9696.98,233186
596,7,2026-05-09,70.62,4418.1,305193
597,3,2024-12-09,101.57,7167.08,135350
598,7,2024-09-10,103.24,6910.11,244892
599,5,2026-04-03,59.41,8269.07,291901
600,1,2025-05-14,36.92,7186.12,184845
601,8,2025-08-16,41.63,3151.13,395741
602,9,2025-11-19,62.97,11180.09,93559
603,7,2024-06-21,109.21,9142.78,369662
604,5,2025-12-12,31.37,5330.6,136299
605,2,2026-04-28,10.59,10510.83,362115
