expense_id,trip_id,fuel_cost,toll_cost,food_expense,parking_cost,misc_expense
107,107,20820.96,1721,680,68,1269
108,108,12268.32,1660,452,479,1114
109,109,1280.1,2170,554,85,1317
110,110,8151.4,652,1487,1056,1214
111,111,3444.0,826,1508,323,969
112,112,6690.36,1086,1567,268,405
113,113,6403.73,632,481,195,341
114,114,7654.74,1980,1772,1164,876
115,115,1683.03,1734,1202,358,270
116,116,3876.04,741,871,719,665
117,117,4027.58,2090,1976,1118,634
118,118,5936.31,472,553,671,1122
119,119,2213.71,1760,546,50,742
120,120,3493.61,2460,357,1200,1349
121,121,4368.41,1089,961,1174,1436
122,122,2731.23,558,856,55,553
123,123,3433.3,1587,1126,1118,1218
124,124,3690.64,801,1075,95,813
125,125,3856.52,1991,296,1071,20
126,126,1022.14,1337,479,709,969
127,127,2018.49,2379,1382,35,986
128,128,13011.37,2137,1805,1200,1424
129,129,2154.44,1637,1331,615,382
130,130,6538.38,778,1788,158,645
131,131,2462.99,2114,1080,616,1390
132,132,825.19,559,1560,299,547
133,133,2105.66,968,1457,366,1020
134,134,11892.07,2470,372,324,320
135,135,3514.19,1010,362,1153,852
136,136,5531.32,775,738,973,529
137,137,5078.55,1274,1758,345,1494
138,138,670.93,1144,608,373,847
139,139,3237.29,1788,838,487,1148
140,140,1912.1,951,1084,211,637
141,141,3798.74,2108,1677,172,1359
142,142,12558.45,1555,592,127,557
143,143,3490.8,1829,708,210,1475
144,144,747.31,1878,427,1111,174
145,145,1731.65,2032,1276,553,294
146,146,5823.04,1671,1513,349,1409
147,147,3783.95,1543,1110,130,614
148,148,1103.83,537,1194,505,1344
149,149,2191.9,1326,375,1150,708
150,150,7478.9,1661,1633,22,1226
151,151,1012.54,675,1483,970,1256
152,152,18150.75,453,938,633,1265
153,153,4219.52,1711,990,793,1037
154,154,9968.66,945,457,711,1329
155,155,1289.39,464,883,238,181
156,156,10627.05,1228,417,344,441
157,157,3070.51,286,1446,1077,101
158,158,3751.0,102,387,1052,815
159,159,3712.06,396,1287,452,1303
160,160,12744.86,2372,1876,137,999
161,161,3389.18,1739,1859,534,1323
162,162,4716.56,839,1777,535,1035
163,163,4357.86,1912,1032,751,448
164,164,4941.57,1795,992,1112,692
165,165,4189.78,573,607,183,371
166,166,7096.11,1318,882,427,443
167,167,1627.33,2187,228,199,766
168,168,15402.43,297,1132,436,1087
169,169,6053.52,1231,917,758,178
170,170,3648.08,1389,1642,483,1131
171,171,4377.34,2038,566,902,419
172,172,1704.93,2272,1331,459,1100
173,173,1601.81,1531,1891,278,431
174,174,5022.62,1285,1377,853,1328
175,175,8289.71,2165,750,428,1384
176,176,2757.8,1957,491,682,624
177,177,2538.64,1522,695,976,1425
178,178,3055.28,2059,1539,784,1226
179,179,3857.57,528,972,214,461
180,180,5373.94,2250,1952,952,1471
181,181,5557.09,1541,623,202,540
182,182,700.01,1069,1877,569,601
183,183,13381.19,2060,1257,782,1300
184,184,1259.08,2210,337,990,75
185,185,1585.74,465,821,765,1449
186,186,14734.02,1940,1229,727,514
187,187,625.24,2470,702,1077,772
188,188,1115.86,1078,1551,359,111
189,189,1859.0,1690,1425,94,1366
190,190,3997.02,205,1646,1060,1056
191,191,7618.45,2387,1643,20,834
192,192,3473.89,1417,646,850,648
193,193,3739.04,934,1240,3,1297
194,194,16392.9,1020,1853,416,1483
195,195,5620.12,171,806,594,1175
196,196,2011.39,609,1665,323,826
197,197,8276.15,2081,579,90,425
198,198,4166.34,722,1831,415,33
199,199,2633.33,1708,1787,858,685
200,200,1917.58,1748,1999,777,1140
201,201,4962.09,545,746,461,554
202,202,3309.35,1469,300,357,284
203,203,6658.95,657,1441,20,874
204,204,12793.82,496,510,200,941
205,205,4449.49,804,1149,188,37
206,206,8758.01,1879,347,868,117
207,207,2657.68,1998,1132,992,1467
208,208,6482.63,1079,1733,726,760
209,209,4020.86,2284,1266,419,231
210,210,867.18,1664,549,251,549
211,211,11062.92,437,613,41,170
212,212,4843.0,256,1855,910,816
213,213,926.44,203,245,130,1342
214,214,4546.49,406,1400,372,554
215,215,10966.65,2180,1265,324,1375
216,216,10464.4,270,692,1004,995
217,217,1292.84,1429,743,389,885
218,218,3798.58,1521,605,886,1021
219,219,4441.36,2432,1958,315,414
220,220,8783.48,1184,350,710,778
221,221,2961.06,1692,1277,630,56
222,222,5224.01,1522,1982,349,857
223,223,4171.3,386,1132,1160,852
224,224,856.16,276,1695,771,1297
225,225,5384.44,287,1074,916,1023
226,226,3229.18,1823,345,802,730
227,227,6547.24,127,764,1169,1124
228,228,8343.71,1414,611,424,1333
229,229,1564.01,1807,1730,214,880
230,230,981.24,1233,362,153,773
231,231,8275.07,407,1809,721,201
232,232,2189.69,210,1414,393,1035
233,233,6014.51,1676,414,287,115
234,234,5160.98,1965,786,586,851
235,235,2365.7,331,239,927,1061
236,236,5190.89,684,1781,570,360
237,237,1901.93,1257,1172,3,457
238,238,3301.21,725,1418,817,510
239,239,671.47,784,203,1078,210
240,240,2692.48,1745,1521,413,376
241,241,13830.51,1276,1136,511,1349
242,242,8151.45,2462,1730,631,970
243,243,2024.84,361,1202,250,1180
244,244,8207.22,987,1733,618,1098
245,245,5115.98,1283,1012,923,1142
246,246,2759.29,2191,754,691,1273
247,247,3249.31,717,502,598,1191
248,248,2004.09,2241,1810,1002,358
249,249,15215.52,2442,270,185,377
250,250,4271.21,1192,526,926,1170
251,251,2974.46,480,841,150,1118
252,252,2611.21,1170,1670,780,366
253,253,5719.86,2121,1436,875,258
254,254,911.85,2120,1838,603,447
255,255,3232.8,1292,1978,600,549
256,256,9479.35,2246,997,1118,1487
257,257,1075.17,1399,787,19,1352
258,258,14785.8,812,1833,167,287
259,259,16910.63,2233,497,522,238
260,260,11775.82,486,1809,513,1202
261,261,5802.83,712,1879,1086,1334
262,262,2415.15,968,312,1123,686
263,263,5725.66,189,1991,1032,1126
264,264,3458.88,1239,1843,194,66
265,265,1678.73,237,906,911,818
266,266,2217.96,177,989,309,162
267,267,2156.34,1947,1343,206,940
268,268,6796.41,1726,1551,336,816
269,269,8410.51,1673,1926,74,1018
270,270,2086.18,1098,732,933,765
271,271,7124.67,2196,1486,1073,318
272,272,3742.67,1123,1563,950,727
273,273,10665.0,106,1351,795,1472
274,274,4522.55,1522,1488,587,1048
275,275,5218.11,2381,1602,278,1132
276,276,2053.64,1384,1382,598,561
277,277,11669.27,2399,1001,151,829
278,278,1984.22,2256,449,1095,1424
279,279,11271.28,432,1470,196,20
280,280,4827.44,2300,1288,341,1198
281,281,4708.82,2271,1561,386,1246
282,282,9856.97,1745,1687,831,122
283,283,10872.0,1408,793,1197,102
284,284,12706.46,637,1266,304,1215
285,285,2104.23,2008,313,818,1013
286,286,17782.15,1015,1711,445,1390
287,287,8325.19,1128,1341,980,1421
288,288,632.54,1093,1031,1027,1059
289,289,4040.8,2143,1776,333,588
290,290,5053.95,360,249,326,1131
291,291,3807.68,1123,970,461,802
292,292,5477.47,2403,1384,1039,1307
293,293,1761.83,1234,901,1164,1463
294,294,2401.14,1127,1288,375,31
295,295,4800.61,2417,1536,101,354
296,296,7510.75,590,505,166,53
297,297,2085.57,990,1957,327,950
298,298,1614.02,2150,1388,314,326
299,299,9210.42,712,416,284,1358
300,300,3549.85,1081,988,373,1386
301,301,6754.74,559,575,180,415
302,302,2079.55,1690,1421,621,1338
303,303,3559.32,1419,910,353,471
304,304,2708.3,1777,1316,633,1331
305,305,2540.42,543,1860,1023,826
306,306,6738.93,1621,229,288,1379
307,307,5782.27,1624,1929,1001,547
308,308,699.27,125,1576,351,129
309,309,955.01,1539,1327,311,478
310,310,5355.7,1006,1444,995,86
311,311,1585.52,1528,637,995,1462
312,312,8543.89,1067,1443,1086,1324
313,313,936.13,884,1244,153,53
314,314,2964.21,2495,441,405,1162
315,315,3910.36,1922,524,381,843
316,316,9100.62,1649,704,1190,654
317,317,7329.8,2338,1097,916,174
318,318,1403.82,1261,1275,1144,874
319,319,2843.85,517,1461,868,854
320,320,6287.53,2128,289,698,351
321,321,5521.17,621,1688,245,507
322,322,4682.07,2439,1823,669,964
323,323,5819.49,2444,462,434,1468
324,324,1803.54,2018,1005,859,818
325,325,3459.54,1196,1845,882,885
326,326,21021.17,2147,1478,818,1403
327,327,795.56,774,807,1062,361
328,328,2469.75,2197,1967,420,451
329,329,4964.44,820,1356,431,1057
330,330,8011.11,650,1717,1059,680
331,331,3135.84,142,1605,930,1255
332,332,974.55,1919,1781,408,521
333,333,6468.94,948,1922,305,1356
334,334,6261.58,2097,1177,1102,421
335,335,8377.21,1245,329,563,1226
336,336,2388.72,185,1263,855,46
337,337,19372.32,895,1331,769,544
338,338,6912.18,642,1393,58,1214
339,339,17626.22,404,1423,323,756
340,340,3958.91,473,1152,698,52
341,341,2351.3,953,1113,892,565
342,342,7468.0,120,1496,605,1296
343,343,8323.56,162,655,0,1013
344,344,610.48,1741,1915,733,1209
345,345,2683.52,1469,797,1084,707
346,346,791.51,1253,1511,236,1374
347,347,3949.56,601,436,536,1390
348,348,3655.12,819,582,295,490
349,349,1794.41,1455,506,592,143
350,350,2703.34,2068,1855,130,1470
351,351,655.66,742,1820,763,376
352,352,5075.79,1779,269,383,1390
353,353,7771.52,1822,424,1107,786
354,354,11641.87,747,253,1038,294
355,355,9386.34,1926,827,490,738
356,356,7288.25,1811,649,342,82
357,357,2149.46,2469,1728,979,122
358,358,2748.04,2173,993,631,1474
359,359,8334.59,969,508,902,1414
360,360,3290.5,1475,517,850,768
361,361,3385.73,233,1997,303,1203
362,362,8989.1,1590,1873,378,214
363,363,10238.18,1654,1721,837,1186
364,364,5648.42,1888,1257,248,280
365,365,1957.17,828,1560,268,1070
366,366,3545.64,316,1447,745,422
367,367,7159.06,1255,1172,909,1254
368,368,7266.16,587,1222,891,176
369,369,3276.35,514,610,1150,1217
370,370,17761.78,343,1789,799,202
371,371,2373.97,1674,268,814,1020
372,372,3959.76,1903,1661,346,1443
373,373,563.78,312,664,588,223
374,374,3776.74,2030,1028,769,959
375,375,4235.93,2234,1111,421,1131
376,376,5221.74,1861,1152,673,199
377,377,1631.15,1864,517,932,1034
378,378,3039.15,1317,1620,720,234
379,379,754.37,460,1263,407,1236
380,380,6649.87,782,756,603,434
381,381,5076.53,1317,322,220,1364
382,382,1672.46,1175,552,1179,1379
383,383,2626.35,926,1319,958,199
384,384,6068.81,2293,1733,1198,1082
385,385,5538.97,2127,929,1130,1299
386,386,15525.41,1374,1096,521,866
387,387,3377.8,1959,990,129,424
388,388,2280.53,2492,672,155,1363
389,389,6621.88,1483,1523,1123,220
390,390,3987.57,1864,1053,62,1279
391,391,11193.53,636,377,1014,462
392,392,5616.44,1436,596,4,973
393,393,3841.7,1068,832,381,1315
394,394,2713.27,2433,1910,991,1000
395,395,13626.27,576,1604,319,448
396,396,4781.0,2154,908,709,400
397,397,3326.89,2459,1088,536,198
398,398,6237.54,375,750,662,1036
399,399,4101.68,1788,1363,1014,144
400,400,2577.58,1940,815,1189,1242
401,401,3500.15,1378,282,1009,127
402,402,1154.11,1197,247,609,26
403,403,1149.8,2338,307,547,500
404,404,7896.17,1031,441,661,498
405,405,1482.67,1708,535,33,637
406,406,2161.08,1172,397,578,272
407,407,5547.21,1039,1308,482,492
408,408,1060.31,260,238,911,1053
409,409,8539.04,1135,416,461,481
410,410,3406.25,1743,496,995,807
411,411,19425.8,1891,641,293,21
412,412,6437.0,2192,744,1183,1493
413,413,3533.21,433,469,83,414
414,414,7867.05,1859,1037,405,709
415,415,11880.01,2014,1480,710,1474
416,416,1263.72,2380,1600,620,752
417,417,2251.93,1822,1165,754,1346
418,418,1475.54,155,1524,1039,540
419,419,5448.9,1737,852,352,479
420,420,3679.96,2026,1924,836,1420
421,421,708.26,945,607,1162,627
422,422,22826.29,1406,1910,252,1350
423,423,1653.8,1447,1035,15,361
424,424,1325.9,853,1083,612,985
425,425,7340.71,1019,1939,898,1373
426,426,2119.01,1033,922,855,1366
427,427,3477.14,2042,722,906,352
428,428,9230.83,252,1304,349,319
429,429,9725.03,1354,988,930,1274
430,430,3181.55,1097,1431,953,1057
431,431,6355.58,1729,1625,797,256
432,432,1523.41,1879,1043,296,1137
433,433,4412.68,1459,1862,1178,1230
434,434,3944.73,137,1878,985,670
435,435,615.13,1119,1512,709,680
436,436,5144.09,2229,1798,27,731
437,437,6254.47,687,1892,448,186
438,438,6011.01,1022,878,729,614
439,439,4365.91,569,794,10,1468
440,440,7808.79,981,1463,553,798
441,441,985.49,296,1216,379,18
442,442,8237.57,182,1266,171,792
443,443,17014.78,996,1522,726,1030
444,444,4391.58,904,1698,151,671
445,445,5440.5,2203,1430,1036,294
446,446,2838.41,1987,1881,1199,1479
447,447,8715.33,118,758,581,282
448,448,3347.69,1081,545,120,1136
449,449,904.59,1425,1273,72,845
450,450,5266.72,1586,912,729,423
451,451,4178.36,158,509,811,86
452,452,5860.21,1347,231,1191,291
453,453,2059.85,507,217,256,618
454,454,4863.55,156,879,87,587
455,455,1691.88,2395,987,117,1103
456,456,1555.09,1842,555,1038,570
457,457,655.94,1942,596,925,1482
458,458,8104.91,2329,222,65,1472
459,459,5088.52,447,1183,535,1356
460,460,2168.21,2381,709,1071,977
461,461,7832.44,608,297,827,676
462,462,8986.83,2337,920,22,771
463,463,4895.21,1310,1830,994,286
464,464,3175.9,1581,1100,168,205
465,465,6955.37,2135,433,674,203
466,466,16203.02,1164,1747,446,968
467,467,2718.35,372,1726,1016,267
468,468,15610.48,1588,770,1188,866
469,469,3906.91,2032,558,306,1439
470,470,9179.73,1231,316,465,390
471,471,7314.29,2285,1190,610,1066
472,472,4575.72,1918,960,826,814
473,473,4025.47,1970,845,820,88
474,474,1093.89,889,1610,630,746
475,475,7118.96,1015,584,569,457
476,476,6156.12,870,1323,911,820
477,477,10077.38,755,1711,22,985
478,478,3002.95,1119,1215,570,397
479,479,1412.17,150,520,576,72
480,480,8045.9,2291,788,331,105
481,481,4236.45,973,1772,765,808
482,482,2394.02,852,1612,274,1326
483,483,4831.35,1119,791,923,321
484,484,3273.26,497,1283,908,510
485,485,18809.08,1872,453,334,729
486,486,10084.56,1267,1274,387,398
487,487,17746.73,2017,290,891,389
488,488,1245.26,777,1597,396,195
489,489,4845.81,1073,1396,529,275
490,490,7580.44,1899,804,1110,1062
491,491,6167.69,665,1736,592,106
492,492,2321.68,773,370,280,179
493,493,4388.63,505,391,487,969
494,494,3902.41,2486,899,577,1016
495,495,3992.94,1718,1634,1083,444
496,496,5181.42,1390,1097,190,107
497,497,10060.81,1319,1471,701,862
498,498,6960.22,2181,1554,261,306
499,499,16706.21,1949,304,475,1451
500,500,9657.09,313,735,162,1147
501,501,2681.61,283,732,994,764
502,502,1477.57,2425,631,326,275
503,503,2742.75,797,1294,742,1262
504,504,6194.29,1017,1970,38,71
505,505,2713.21,255,288,475,242
506,506,3524.94,367,582,396,57
507,507,6633.33,2493,962,506,1036
508,508,7102.74,2411,1671,516,693
509,509,1077.51,251,1556,499,957
510,510,821.55,2335,800,175,581
511,511,2680.02,2139,234,707,1016
512,512,1414.25,1882,261,604,613
513,513,6485.68,894,821,960,212
514,514,6991.6,695,1240,657,377
515,515,4960.16,1240,1457,911,199
516,516,8891.06,2103,1625,279,1198
517,517,4094.81,1608,1243,196,95
518,518,2505.64,276,372,277,1118
519,519,3334.54,537,552,509,798
520,520,6183.23,906,423,464,409
521,521,1478.77,287,563,545,633
522,522,2835.65,1718,1069,764,117
523,523,705.29,2034,500,201,29
524,524,6531.39,1139,1926,180,893
525,525,7081.78,931,853,246,63
526,526,8609.15,2289,234,398,1144
527,527,1568.3,2416,1432,209,1137
528,528,12043.52,1765,1217,225,654
529,529,8832.16,2293,1024,437,773
530,530,2019.45,574,269,892,518
531,531,9259.99,368,1143,518,551
532,532,11181.27,950,279,558,390
533,533,4867.65,227,1551,468,142
534,534,3716.84,750,243,1049,1009
535,535,10997.87,2385,1931,45,809
536,536,3031.27,122,1732,831,1142
537,537,5193.68,1557,452,43,361
538,538,1849.62,573,1577,1142,371
539,539,2502.49,759,1260,456,1325
540,540,6999.69,128,926,550,1194
541,541,13502.93,2288,475,822,1132
542,542,6140.69,1176,933,629,1035
543,543,7794.66,1044,474,29,505
544,544,900.76,476,1513,824,1311
545,545,5437.47,675,394,81,1353
546,546,12220.24,1084,803,812,799
547,547,3475.84,522,983,300,741
548,548,3728.32,2372,232,1080,1232
549,549,771.44,247,588,434,810
550,550,3619.68,1587,1914,8,1300
551,551,4325.71,880,1480,875,875
552,552,3499.91,104,1274,941,1043
553,553,3442.13,1611,639,150,797
554,554,5870.28,1359,1297,1133,299
555,555,21185.72,725,904,934,651
556,556,3695.4,2462,1347,572,1042
557,557,1470.98,1084,1280,95,374
558,558,3298.54,1270,416,1133,150
559,559,3672.29,1093,1943,1068,1161
560,560,5557.47,2363,871,264,1085
561,561,5105.32,1414,1242,1169,1317
562,562,3773.22,1144,1586,344,803
563,563,5378.83,732,260,80,654
564,564,1316.75,1004,1146,1017,582
565,565,959.9,2154,1485,658,703
566,566,3263.12,2454,1858,114,1166
567,567,2959.51,534,983,202,292
568,568,6737.44,850,712,1182,497
569,569,2789.25,1248,318,1118,1281
570,570,5556.64,1579,396,458,141
571,571,13625.27,208,486,91,791
572,572,8242.5,1133,812,906,187
573,573,6527.79,2156,1625,1075,1227
574,574,4580.11,1301,1747,854,1174
575,575,12338.78,399,1978,140,1310
576,576,5470.58,1486,282,197,957
577,577,1056.73,1108,1359,709,613
578,578,2981.82,906,1912,347,1172
579,579,4830.98,1491,715,549,585
580,580,3461.01,297,1652,971,445
581,581,3215.98,2367,738,785,70
582,582,4274.19,2054,1541,337,897
583,583,2723.82,2127,1695,622,338
584,584,4560.76,1934,1167,835,1355
585,585,2017.25,884,286,881,153
586,586,8001.81,716,1290,163,1348
587,587,3469.28,2024,321,484,1461
588,588,8281.16,534,1749,727,377
589,589,2939.56,1767,1299,109,911
590,590,2585.34,2128,915,544,878
591,591,887.34,938,464,1036,520
592,592,1869.03,923,1471,1017,1072
593,593,3936.7,423,699,856,557
594,594,6222.92,661,1289,278,510
595,595,3461.09,2035,643,1187,1292
596,596,13554.91,1764,1047,222,463
597,597,1089.69,1758,608,981,165
598,598,5368.02,1863,1651,363,185
599,599,3325.41,2351,1745,199,473
600,600,1706.44,1415,919,875,1034
601,601,3947.73,1024,676,73,749
602,602,3793.64,1076,1116,268,1006
603,603,5046.28,1798,892,47,85
604,604,5357.16,1585,339,472,242
605,605,10668.83,1627,1725,445,49
606,606,2733.28,1329,283,7,1090
607,607,2248.98,559,1891,557,740
608,608,11715.29,1351,749,924,1254
609,609,3691.16,281,1804,172,992
610,610,10039.22,732,1786,715,772
611,611,2789.06,1889,244,864,1006
612,612,1427.39,1163,1366,1179,72
613,613,2323.65,1034,1630,857,217
614,614,5203.26,1985,374,504,606
615,615,2820.73,1046,1325,972,468
616,616,1371.22,1058,317,31,412
617,617,1311.91,323,1956,840,212
618,618,3295.47,1869,1795,446,749
619,619,7622.58,2427,1682,141,714
620,620,1731.43,1338,1279,108,937
621,621,6403.15,2364,1115,977,666
622,622,1473.25,1613,1844,312,219
623,623,2649.6,2022,1312,784,815
624,624,2685.74,2204,563,787,699
625,625,8909.85,1963,739,929,838
626,626,4858.74,1450,535,1144,90
627,627,2940.33,1903,455,36,807
628,628,7936.21,762,1356,766,1007
629,629,2798.77,1093,1786,177,614
630,630,5123.86,344,1562,2,1337
631,631,2210.61,1914,231,114,443
632,632,6708.5,1759,1950,83,366
633,633,3963.37,2328,596,760,500
634,634,2425.96,2303,1244,689,219
635,635,3658.03,480,1830,437,534
636,636,5553.33,400,1136,548,1198
637,637,1385.49,303,1159,482,65
638,638,3326.8,1639,1507,339,1083
639,639,8143.2,1308,1110,76,538
640,640,6258.47,1247,1767,556,448
641,641,2350.91,584,392,394,354
642,642,3040.81,1440,1724,767,139
643,643,2524.03,892,937,739,1020
644,644,5911.14,302,392,53,1226
645,645,12371.49,1875,1222,208,949
646,646,1812.19,791,464,1056,226
647,647,3151.91,1021,1291,717,1251
648,648,2643.87,121,1144,281,740
649,649,7203.58,104,330,12,184
650,650,8724.06,144,348,1071,415
651,651,712.41,423,907,1108,820
652,652,5922.54,1875,1922,638,157
653,653,12714.99,2026,789,363,1069
654,654,11526.31,1238,1918,833,1236
655,655,21986.25,1646,1286,327,1340
656,656,3951.83,2297,1800,734,1359
657,657,2690.68,189,822,601,437
658,658,5677.83,570,819,881,1417
659,659,20808.74,1023,291,335,1198
660,660,6929.06,1366,628,113,1392
661,661,2367.83,2039,1736,12,53
662,662,2524.27,419,1037,1183,261
663,663,1498.43,2093,1300,321,946
664,664,2623.06,920,1895,1027,572
665,665,1126.02,2012,472,1120,1119
666,666,7522.33,315,1473,495,1397
667,667,7133.43,1327,1523,536,541
668,668,4267.2,1179,1089,288,408
669,669,12156.24,839,336,592,780
670,670,5623.39,1840,993,925,137
671,671,4459.3,1126,783,976,1178
672,672,6137.36,1969,1400,509,671
673,673,3616.71,928,1338,339,1484
674,674,4646.97,930,1201,1014,749
675,675,1886.44,1615,556,235,402
676,676,2357.06,763,1179,186,691
677,677,2945.39,104,810,640,792
678,678,3645.24,1986,1265,817,1288
679,679,2977.68,1337,1647,580,812
680,680,4293.91,2365,1857,187,1056
681,681,2638.12,2297,763,725,491
682,682,1510.25,1107,549,568,286
683,683,2580.45,208,1481,113,1366
684,684,4925.42,2092,699,1043,1136
685,685,2556.15,2270,977,126,687
686,686,1790.2,2240,366,922,550
687,687,5056.95,1944,630,968,1409
688,688,6657.99,2270,945,344,146
689,689,3691.32,153,1144,979,534
690,690,4595.19,808,981,291,1329
691,691,6374.82,1700,1339,1012,137
692,692,2753.45,921,600,603,1093
693,693,4015.08,558,685,32,146
694,694,3353.55,1118,1664,503,1171
695,695,8142.58,2125,634,262,482
696,696,954.72,425,1653,362,25
697,697,3392.6,1331,1865,707,1114
698,698,2597.37,712,212,398,603
699,699,2181.33,258,1798,254,490
700,700,4493.52,1611,1284,416,618
701,701,7349.94,603,390,763,986
702,702,8780.3,2070,1450,644,581
703,703,1263.56,897,1245,1011,1328
704,704,21406.12,949,1908,1185,1428
705,705,15038.98,1664,1839,940,1467
706,706,14200.76,2136,1035,889,568
707,707,612.47,925,1060,781,324
708,708,1459.87,608,557,661,1094
709,709,18354.15,1522,1956,548,815
710,710,2946.33,446,1584,586,274
711,711,10038.96,1454,1078,1050,570
712,712,1232.35,123,1311,576,913
713,713,11996.09,1190,1549,184,581
714,714,9287.34,1753,1748,543,1335
715,715,2445.72,1046,739,1152,857
716,716,3739.3,1186,1235,29,283
717,717,5473.16,1518,1877,6,122
718,718,8965.03,707,1799,75,595
719,719,19263.16,1428,292,605,117
720,720,7750.03,485,254,344,816
721,721,8968.99,1267,1550,1069,1325
722,722,5369.01,790,959,1177,813
723,723,4830.14,1729,777,756,1403
724,724,6462.77,1313,1395,528,1371
725,725,1500.51,1177,1906,1193,1316
726,726,1918.53,820,444,354,192
727,727,2795.04,525,555,794,1453
728,728,4925.31,1883,1831,162,774
729,729,4227.96,1313,1553,58,1287
730,730,4641.83,1572,1208,450,184
731,731,4840.98,777,386,774,992
732,732,3665.07,820,1507,467,1424
733,733,12495.56,1301,1514,509,162
734,734,5524.48,1634,1270,793,6
735,735,5433.13,1557,447,225,1314
736,736,16932.8,2278,276,418,18
737,737,14321.14,684,815,405,108
738,738,5390.18,1615,1917,525,882
739,739,5170.73,246,360,413,1147
740,740,876.54,228,1836,239,1013
741,741,4484.0,744,1902,47,1215
742,742,3538.83,1944,1309,868,939
743,743,1639.63,1197,1476,519,483
744,744,2110.38,211,395,642,1012
745,745,3368.71,1955,1736,608,783
746,746,7618.06,1638,313,499,36
